hs_code,hs_code_2,hs_code_4,hs_code_6,hs_code_8,hs_description
03.03.14.00,03,0303,030314,03031400,ماهي قزل آلا (Salmo tratta، Oncorhynchus، mykiss، Oncorhynchus clarki، Oncorhynchus aguabonita، Oncorhynchus gilae، Oncorhynchus apache and Oncorhynchus chrysogaster) يخ زده، به استثناي جگر و تخم ماهي
03.03.14.00,03,0303,030314,03031400,ماهی قزل آلا (Salmo tratta، Oncorhynchus، mykiss، Oncorhynchus clarki، Oncorhynchus aguabonita، Oncorhynchus gilae، Oncorhynchus apache and Oncorhynchus chrysogaster) یخ زده، به استثنای جگر و تخم ماهی
03.03.19.00,03,0303,030319,03031900,سایر ماهی ها بجز ماهی های آزاد اقیانوس آرام، اقیانوس اطلس و ماهی آزاد دانوب و ماهی قزل آلا یخ زده به استثنای یخ زده، به استثنای جگر و تخم ماهی
03.03.19.00,03,0303,030319,03031900,ساير ماهي ها بجز ماهي هاي آزاد اقيانوس آرام، اقيانوس اطلس و ماهي آزاد دانوب و ماهي قزل آلا يخ زده به استثناي يخ زده، به استثناي جگر و تخم ماهي
03.03.24.00,03,0303,030324,03032400,سایر سگ ماهی ها و كوسه ها غیر مذكور در ردیف 030382، 030383، 030384 یخ زده به غیر از جگر و تخم ماهی
03.03.24.00,03,0303,030324,03032400,ساير سگ ماهي ها و كوسه ها غير مذكور در رديف 030382، 030383، 030384 يخ زده به غير از جگر و تخم ماهي
03.03.25.00,03,0303,030325,03032500,انواع ماهی كپور Myprinus carpio، carassius carassius، ctenopharygodon idellus، Hypopthalmichthys spp، Cirrhinus spp، Mylopharyngodon piceus.) یخ زده به استثنای جگر و تخم ماهی
03.03.25.00,03,0303,030325,03032500,انواع ماهي كپور Myprinus carpio، carassius carassius، ctenopharygodon idellus، Hypopthalmichthys spp، Cirrhinus spp، Mylopharyngodon piceus.) يخ زده به استثناي جگر و تخم ماهي
03.03.26.00,03,0303,030326,03032600,مارماهي (Anguilla spp) يخ زده به استثناي جگر و تخم ماهي
03.03.26.00,03,0303,030326,03032600,مارماهی (Anguilla spp) یخ زده به استثنای جگر و تخم ماهی
03.03.29.00,03,0303,030329,03032900,خانواده ماهی ازاد، (به استثنای ماهی ازاد اقیانوس ارام، اطلس و دانوب) یخ زده به استثنای جگر، تخم و منی ماهی
03.03.29.00,03,0303,030329,03032900,خانواده ماهي ازاد، (به استثناي ماهي ازاد اقيانوس ارام، اطلس و دانوب) يخ زده به استثناي جگر، تخم و مني ماهي
03.03.32.00,03,0303,030332,03033200,حلوا ماهیان (plaice)، یخ زده باسثنای جگر ماهی تخم و منی آن
03.03.32.00,03,0303,030332,03033200,حلوا ماهيان (plaice)، يخ زده باسثناي جگر ماهي تخم و مني آن
03.03.39.00,03,0303,030339,03033900,ساير ماهي هاي پهن (fish flat)، يخ زده (به استثناي فلتان، حلوا و کفشک) جگر تخم و مني ماهي
03.03.39.00,03,0303,030339,03033900,سایر ماهی های پهن (fish flat)، یخ زده (به استثنای فلتان، حلوا و کفشک) جگر تخم و منی ماهی
03.03.49.00,03,0303,030349,03034900,سایر ماهی های تن، یخ زده که در جای دیگری مذکور یا مشمول نباشد باسثنای جگر، تخم و منی ماهی
